Erythroedema,लाल शोफ,लाल सूज,रक्त-शोफः
Erythrogenesis,लाल कोशिका निर्माण,लाल पेशी निर्माण,रक्त-कोशिका-निर्माणम्
Erythromelalgia,लाल अंग पीड़ा,लाल अंग वेदना,रक्त-अङ्ग-वेदना
Erythromycin,एरिथ्रोमाइसिन प्रतिजैविक,एरिथ्रोमायसिन प्रतिजैविक,एरिथ्रोमाइसिन-प्रतिजैविकम्
Erythropenia,लाल कोशिका अल्पता,लाल पेशी अल्पता,रक्त-कोशिका-न्यूनता
Erythropoiesis,लाल कोशिका उत्पत्ति,लाल पेशी निर्मिती,रक्त-कोशिका-उत्पत्तिः
Erythropoietin,एरिथ्रोपोइटिन हार्मोन,एरिथ्रोपोईटिन संप्रेरक,रक्त-कोशिका-उत्पादक-हार्मोनम्
Erythropsis,लाल दृष्टि,लाल दृष्टी,रक्त-दृष्टिः
Esbach's Albuminometer,एस्बैक प्रोटीन मापी,एस्बॅक प्रोटीन मापक,एस्बैक-प्रोटीन-मापकम्
Eschar,मृत पपड़ी,मृत कवच,मृत-खण्डम्
Escherichia Coli,ई.कोलाई जीवाणु,ई.कोलाय जीवाणू,ई.कोलाय-जीवाणुः
Escort Nurse,सहचारिणी परिचारिका,सोबत परिचारिका,सहचारिणी-परिचारिका
Esotropia,अंतर्वर्ती दृष्टि दोष,आतर्वर्ती दृष्टीदोष,अन्तर्वर्ती-दृष्टि-दोषः
Essential,आवश्यक,आवश्यक,आवश्यकः
Essential Amino Acid,अत्यावश्यक अमीनो अम्ल,अत्यावश्यक अमीनो आम्ल,आवश्यक-अमीनो-अम्लम्
Essential Element,अत्यावश्यक तत्व,अत्यावश्यक घटक,आवश्यक-तत्त्वम्
Essential Fatty Acid,अत्यावश्यक वसा अम्ल,अत्यावश्यक चरबी आम्ल,आवश्यक-वसा-अम्लम्
Essential Hypertension,अज्ञात कारण उच्च रक्तचाप,अज्ञात कारण उच्च रक्तदाब,अज्ञात-कारण-उच्च-रक्तचापः
Essential Oil,सुगंधित तेल,सुगंधी तेल,सुगन्धित-तैलम्
Essential Tremor,अज्ञात कारण कंपन,अज्ञात कारण थरकाप,अज्ञात-कारण-कम्पनम्
Essential Uterine Haemorrhage,अज्ञात कारण गर्भाशय रक्तस्राव,अज्ञात कारण गर्भाशय रक्तस्त्राव,अज्ञात-कारण-गर्भाशय-रक्तस्रावः
Eestrogen,रजोधर्म हार्मोन,रजोधर्म संप्रेरक,स्त्री-हार्मोनम्
Ethambutol,एथमब्यूटॉल औषधि,एथमब्यूटॉल औषध,एथमब्यूटॉल-औषधम्
Ethanol,एथेनॉल/मद्य,इथेनॉल/दारू,मद्यम्
Ether,ईथर संज्ञाहारक,इथर भुलवणी,ईथर-संज्ञाहरणम्
Ethene,एथीन गैस,इथीन वायू,एथीन-वायुः
Ethics,नीतिशास्त्र,नीतिशास्त्र,नीतिशास्त्रम्
Ethical Committee,नैतिक समिति,नैतिक समिती,नैतिक-समितिः
Ethinylestradiol,एथिनिलएस्ट्राडिऑल,एथिनिलएस्ट्राडिऑल,एथिनिल-एस्ट्राडिऑल
Ethmoid,जालिकास्थि,जाळीदार हाड,जालिका-अस्थि
Ethmoid Bone,जालिकास्थि,जाळीदार हाड,जालिका-अस्थि
Ethmoid Sinuses,जालिकास्थि विवर,जाळीदार हाड विवर,जालिका-अस्थि-विवरम्
Ethmoidectomy,जालिकास्थि उच्छेदन,जाळीदार हाड छेदन,जालिका-अस्थि-छेदनम्
Ethmoiditis,जालिकास्थि शोथ,जाळीदार हाड दाह,जालिका-अस्थि-शोथः
Ethnic,जातीय/सांस्कृतिक,जातीय/सांस्कृतिक,जातीयः
Ethyl Alcohol,एथिल अल्कोहल,इथाइल अल्कोहोल,एथिल-मद्यम्
Ethylene,एथिलीन गैस,इथिलीन वायू,एथिलीन-वायुः
Ethylestrenol,एथिलएस्ट्रेनॉल,एथिलएस्ट्रेनॉल,एथिल-एस्ट्रेनॉल
Etiology,रोग कारण विज्ञान,रोग कारण शास्त्र,रोग-कारण-विज्ञानम्
Eubacteria,सुजीवाणु,सुजीवाणू,सु-जीवाणुः
Eucalyptol,यूकेलिप्टॉल तेल,युकॅलिप्टॉल तेल,यूकेलिप्टॉल-तैलम्
Eucalyptus,नीलगिरी वृक्ष,निलगिरी वृक्ष,नीलगिरि-वृक्षः
Eucalyptus Oil,नीलगिरी तेल,निलगिरी तेल,नीलगिरि-तैलम्
Eunuch,नपुंसक व्यक्ति,नपुंसक व्यक्ती,नपुंसकः
Eupepsia,सुपाचन,सुपचन,सु-पाचनम्
Euphoria,उल्लास/आनंदातिरेक,आनंदातिरेक,उल्लासः
Euplastic,सुपूरक/भरण योग्य,सुपूरक,सु-पूरकः
Eustachian Canal,यूस्टेशियन नलिका,युस्टेशियन नलिका,यूस्टेशियन-नलिका
Eustachian Tube,यूस्टेशियन नली,युस्टेशियन नलिका,यूस्टेशियन-नलिका
Euthanasia,इच्छा मृत्यु/दयामरण,इच्छामरण,इच्छा-मृत्युः
Euthyroid,सामान्य थायरॉयड,सामान्य थायरॉईड,सामान्य-थायरॉयड
Eutocia,सुप्रसव,सुप्रसव,सु-प्रसवः
Evacuant,मलोत्सारक औषधि,मलोत्सारक औषध,मल-उत्सारक-औषधम्
Evacuate,खाली करना/निकालना,रिकामे करणे,निष्कासयति
Evacuation,निकासन/खाली करना,निष्कासन,निष्कासनम्
Evacuation of Retained Products,प्रसवोत्तर सफाई,प्रसवोत्तर साफसफाई,प्रसव-उत्तर-शुद्धिः
Evacuator,निकासक यंत्र,निष्कासक यंत्र,निष्कासक-यन्त्रम्
Evaluate,मूल्यांकन करना,मूल्यमापन करणे,मूल्याङ्कनम्
Evaporation,वाष्पीकरण,बाष्पीभवन,वाष्पीकरणम्
Eversion,बाह्यावर्तन,बाहेर वळणे,बहिः-वर्तनम्
Evidence-Based Medicine,साक्ष्य आधारित चिकित्सा,पुरावा आधारित वैद्यक,साक्ष्य-आधारित-चिकित्सा
Evisceration,आंत निकालना/नेत्र सामग्री निकालना,आंतडे काढणे,आन्त्र-निष्कासनम्
Evolution,क्रम विकास,उत्क्रांती,क्रम-विकासः
Ewing's Tumour,यूइंग अर्बुद,यूइंग गाठ,यूइंग-अर्बुदम्
Ewing's Sarcoma,यूइंग सार्कोमा,यूइंग सार्कोमा,यूइंग-सार्कोमा
Exacerbate,तीव्र करना/बिगाड़ना,वाढवणे/बिघडवणे,तीव्र-कर्तुम्
Exacerbation,तीव्रता/रोग वृद्धि,तीव्रता,तीव्रता
Examination,परीक्षण/जांच,तपासणी,परीक्षा
Exanthem,बहिर्विस्फोट,बाह्य विस्फोट,बहिः-विस्फोटः
Exanthematous,विस्फोटक,विस्फोटक,विस्फोटकः
Exanthem Subitum,शिशु विस्फोट रोग,बाळ विस्फोट रोग,शिशु-विस्फोट-रोगः
Excavation,उत्खनन/गर्त,खोदणे,उत्खननम्
Excavator,उत्खनन यंत्र,उत्खनन यंत्र,उत्खनन-यन्त्रम्
Excess,आधिक्य/अतिरिक्त,अतिरिक्त,आधिक्यम्
Excessive,अत्यधिक,अतिरिक्त,अत्यधिकः
Exchange Transfusion,विनिमय रक्ताधान,देवाणघेवाण रक्तसंक्रमण,विनिमय-रक्ताधानम्
Excipient,निष्क्रिय पदार्थ,निष्क्रिय पदार्थ,निष्क्रिय-पदार्थः
Excise,काटना/उच्छेदन करना,कापणे/छेदन करणे,उच्छेदयति
Excision,उच्छेदन/काटना,छेदन,उच्छेदनम्
Excitation,उत्तेजन,उत्तेजन,उत्तेजनम्
Excited,उत्तेजित,उत्तेजित,उत्तेजितः
Excitement,उत्तेजना,उत्तेजना,उत्तेजना
Excoriation,खरोंच/घर्षण,ओरखडा,घर्षणम्
Excrement,मल/विष्ठा,विष्ठा,विष्ठा
Excrescence,अतिवृद्धि/मस्सा,अतिवृद्धी,अति-वृद्धिः
Excreta,उत्सर्ग पदार्थ,उत्सर्ग पदार्थ,उत्सर्ग-पदार्थः
Excrete,उत्सर्जित करना,उत्सर्जित करणे,उत्सर्जयति
Excretion,उत्सर्जन,उत्सर्जन,उत्सर्जनम्
Excruciating,अत्यंत पीड़ाजनक,अत्यंत वेदनादायक,अति-वेदनाकरः
Exercise,व्यायाम,व्यायाम,व्यायामः
Exercise Cycle,व्यायाम चक्र,व्यायाम चक्र,व्यायाम-चक्रम्
Exercise-Induced Asthma,व्यायाम जनित दमा,व्यायामामुळे दमा,व्यायाम-जनित-श्वासः
Exertion,परिश्रम/कठिन प्रयास,परिश्रम,परिश्रमः
Exfoliation,परत निकलना/छिलना,सोलणे,परत-निष्कासनम्
Exfoliative Dermatitis,परत निकलने वाली त्वचा शोथ,सोलणारा त्वचा दाह,परत-निष्कासक-त्वक्-शोथः
Exhalation,निःश्वसन/साँस छोड़ना,श्वास बाहेर सोडणे,निःश्वसनम्
Exhale,साँस छोड़ना,श्वास बाहेर सोडणे,निःश्वसति
Exhaust,थकाना/थकना,दमणे/थकवणे,श्रान्त-करोति
Exhaustion,थकावट/शिथिलता,थकवा,श्रान्तिः
Exhibitionism,प्रदर्शनवाद,प्रदर्शनवाद,प्रदर्शनवादः
Exocrine,बहिःस्रावी,बहिःस्रावी,बहिः-स्रावी
Exocrine Gland,बहिःस्रावी ग्रंथि,बहिःस्रावी ग्रंथी,बहिः-स्रावी-ग्रन्थिः
Exocrine Secretions,बहिःस्राव,बहिःस्राव,बहिः-स्रावः
Exogenous,बाह्य उत्पत्ति,बाह्य उत्पत्ती,बहिः-उत्पन्नः
Exomphalos,नाभि हर्निया,नाभी हर्निया,नाभि-हर्निया
Exophthalmic Goitre,उभरी आँख गलगंड,उभरी डोळे गलगंड,उभय-नेत्र-गलगण्डः
Exophthalmos,नेत्रोत्सेध,डोळा बाहेर येणे,नेत्र-उत्सेधः
Exophthalmometer,नेत्रोत्सेध मापी,नेत्रोत्सेध मापक,नेत्र-उत्सेध-मापकम्
Exostosis,अस्थि अतिवृद्धि,हाड अतिवृद्धी,अस्थि-अति-वृद्धिः
Exotic,विदेशी/बाह्य,परदेशी,विदेशजः
Exotoxin,बहिर्विष,बहिर्विष,बहिः-विषम्
Expectant Mother,गर्भवती महिला,गर्भवती स्त्री,गर्भवती-स्त्री
Expected Date of Delivery,प्रसव तिथि,प्रसव तारीख,प्रसव-दिनाङ्कः
Expectorant,कफोत्सारक,कफनिःसारक,कफ-निःसारकम्
Expectorate,कफ निकालना,कफ बाहेर काढणे,कफम्-निःसारयति
Expectoration,कफ निःसारण,कफ बाहेर काढणे,कफ-निःसारणम्
Expel,बाहर निकालना,बाहेर काढणे,बहिः-क्षिपति
Experience,अनुभव,अनुभव,अनुभवः
Experiential Learning,अनुभवात्मक शिक्षा,अनुभवात्मक शिक्षण,अनुभव-शिक्षणम्
Experiment,प्रयोग,प्रयोग,प्रयोगः
Expiration,निःश्वसन/साँस छोड़ना,श्वास बाहेर सोडणे,निःश्वसनम्
Expire,समाप्त होना/मरना,संपणे/मरणे,म्रियते
Explant,ऊतक निकालना,ऊतक बाहेर काढणे,ऊतक-बहिष्करणम्
Exploration,अन्वेषण/खोज,अन्वेषण,अन्वेषणम्
Exploratory,अन्वेषणात्मक,अन्वेषक,अन्वेषणात्मकः
Exploratory Laparotomy,उदर अन्वेषण शल्य,उदर अन्वेषण शस्त्रक्रिया,उदर-अन्वेषण-शस्त्रक्रिया
Explore,खोजना/अन्वेषण करना,शोधणे,अन्वेषति
Explosion,विस्फोट,स्फोट,विस्फोटः
Exposure,प्रभावन/संपर्क,संपर्क,सम्पर्कः
Expression,अभिव्यक्ति/चेहरा,अभिव्यक्ती,अभिव्यक्तिः
Exquisite,तीव्र/स्थानीय,तीव्र,तीव्रः
Exquisite Tenderness,तीव्र कोमलता,तीव्र कोमलता,तीव्र-कोमलता
Exsanguinate,रक्तहीन करना,रक्तहीन करणे,रक्त-हीनं-करोति
Exsanguination,रक्तहीनता,रक्तहीनता,रक्त-हीनता
Exsiccation,शुष्कन,सुकवणे,शुष्कीकरणम्
Exsufflation,बलपूर्वक साँस निकालना,जोरात श्वास बाहेर काढणे,बल-निःश्वसनम्
Extend,फैलाना/विस्तार करना,पसरवणे,विस्तारयति
Extension,विस्तार/प्रसार,विस्तार,विस्तारः
Extensor,विस्तारक पेशी,विस्तारक स्नायू,विस्तारक-पेशी
Extensor Muscle,विस्तारक पेशी,विस्तारक स्नायू,विस्तारक-पेशी
Exterior,बाहरी,बाह्य,बाह्यः
Exteriorisation,बहिःकरण,बाह्यीकरण,बहिष्करणम्
Externa,बाह्य,बाह्य,बाह्यः
External,बाह्य,बाह्य,बाह्यः
External Auditory Canal,बाह्य कर्ण नलिका,बाह्य कर्ण नलिका,बाह्य-कर्ण-नलिका
External Auditory Meatus,बाह्य कर्ण द्वार,बाह्य कर्ण द्वार,बाह्य-कर्ण-द्वारम्
External Cardiac Massage,बाह्य हृदय मालिश,बाह्य हृदय मालिश,बाह्य-हृदय-मर्दनम्
External Ear,बाह्य कर्ण,बाह्य कान,बाह्य-कर्णः
External Haemorrhoids,बाह्य अर्श,बाह्य मुलव्याध,बाह्य-अर्शः
External Iliac Artery,बाह्य श्रोणि धमनी,बाह्य श्रोणि धमनी,बाह्य-श्रोणि-धमनी
External Jugular,बाह्य ग्रीवा शिरा,बाह्य ग्रीवा शिरा,बाह्य-ग्रीवा-शिरा
Externally,बाहरी रूप से,बाह्य रीत्या,बाह्यतः
External Nares,बाह्य नासाद्वार,बाह्य नाक छिद्रे,बाह्य-नासा-द्वारम्
External Oblique,बाह्य तिर्यक पेशी,बाह्य तिरकस स्नायू,बाह्य-तिर्यक्-पेशी
External Otitis,बाह्य कर्ण शोथ,बाह्य कर्ण दाह,बाह्य-कर्ण-शोथः
External Respiration,बाह्य श्वसन,बाह्य श्वसन,बाह्य-श्वसनम्
Exteroceptor,बाह्य संवेदक,बाह्य संवेदक,बाह्य-संवेदकः
Extinction,विलोपन/समाप्ति,विलोपन,विलोपनम्
Extirpation,उन्मूलन/पूर्ण निकालना,संपूर्ण काढणे,उन्मूलनम्
Extra-,अतिरिक्त/बाहर,अतिरिक्त,अतिरिक्तः
Extracapsular,संपुट बाह्य,संपुट बाह्य,सम्पुट-बाह्यः
Extracapsular Fracture,संपुट बाह्य अस्थिभंग,संपुट बाह्य हाडमोड,सम्पुट-बाह्य-अस्थि-भङ्गः
Extracellular,कोशिका बाह्य,पेशी बाह्य,कोशिका-बाह्यः
Extracellular Fluid,कोशिका बाह्य द्रव,पेशी बाह्य द्रव,कोशिका-बाह्य-द्रवम्
Extract,निष्कर्ष/अर्क,अर्क/सत्त,निष्कर्षः
Extraction,निष्कर्षण/निकालना,बाहेर काढणे,निष्कर्षणम्
Extradural,कठोर तानिका बाह्य,कठोर आवरण बाहेर,दृढ-तानिका-बाह्यः
Extradural Haematoma,कठोर तानिका बाह्य रक्तगुल्म,कठोर आवरण बाहेर रक्तगुठळी,दृढ-तानिका-बाह्य-रक्तगुल्मः
Extradural Haemorrhage,कठोर तानिका बाह्य रक्तस्राव,कठोर आवरण बाहेर रक्तस्त्राव,दृढ-तानिका-बाह्य-रक्तस्रावः
Extraembryonic,भ्रूण बाह्य,गर्भ बाह्य,भ्रूण-बाह्यः
Extraembryonic Membranes,भ्रूण बाह्य झिल्ली,गर्भ बाह्य पटल,भ्रूण-बाह्य-झिल्ली
Extrapleural,फुस्फुस आवरण बाह्य,फुफ्फुस आवरण बाह्य,फुप्फुस-आवरण-बाह्यः
Extrapyramidal,पिरामिड बाह्य,पिरॅमिड बाह्य,पिरामिड-बाह्यः
Extrapyramidal System,पिरामिड बाह्य तंत्र,पिरॅमिड बाह्य संस्था,पिरामिड-बाह्य-तन्त्रम्
Extrapyramidal Tracts,पिरामिड बाह्य पथ,पिरॅमिड बाह्य मार्ग,पिरामिड-बाह्य-मार्गः
Extrasensory,अतिसंवेदी,अतिसंवेदी,अति-संवेदी
Extrasensory Perception,अतिसंवेदी प्रत्यक्षण,अतिसंवेदी प्रत्यक्षण,अति-संवेदी-प्रत्यक्षणम्
Extrasystole,अतिरिक्त संकुचन,अतिरिक्त आकुंचन,अतिरिक्त-सङ्कोचः
Ectopic Heartbeat,विस्थानिक हृदस्पंद,विस्थानिक हृदस्पंद,विस्थानिक-हृदय-स्पन्दः
Extrauterine,गर्भाशय बाह्य,गर्भाशय बाहेर,गर्भाशय-बाह्यः
Extrauterine Pregnancy,गर्भाशय बाह्य गर्भावस्था,गर्भाशय बाहेर गर्भधारणा,गर्भाशय-बाह्य-गर्भावस्था
Extravasation,रक्तस्राव/बाह्य रिसाव,वाहिनीबाहेर गळती,वाहिनी-बाह्य-स्रावः
Extraversion,बहिर्मुखता,बहिर्मुखता,बहिर्मुखता
Extravert,बहिर्मुखी व्यक्ति,बहिर्मुखी व्यक्ती,बहिर्मुखी-व्यक्तिः
Extremities,अंग/हाथ-पैर,अंगे/हात-पाय,अङ्गानि
Extremity,अंग/सिरा,शेवटचे टोक,अङ्गम्
Extrinsic,बाह्य,बाह्य,बाह्यः
Extrinsic Allergic Alveolitis,बाह्य एलर्जी फुफ्फुसिका शोथ,बाह्य ऍलर्जी फुफ्फुसिका दाह,बाह्य-अलर्जि-फुप्फुसिका-शोथः
Extrinsic Factor,बाह्य कारक,बाह्य कारक,बाह्य-कारकः
Extrinsic Muscle,बाह्य पेशी,बाह्य स्नायू,बाह्य-पेशी
Extroversion,बहिर्मुखता,बहिर्मुखता,बहिर्मुखता
Extrovert,बहिर्मुखी व्यक्ति,बहिर्मुखी व्यक्ती,बहिर्मुखी-व्यक्तिः
English,Hindi,Marathi,Sanskrit
Environment,पर्यावरण,पर्यावरण,परिवेशः
Environmental,पर्यावरणीय,पर्यावरणीय,पारिवेशिकः
Environmental Health Officer,पर्यावरण स्वास्थ्य अधिकारी,पर्यावरण आरोग्य अधिकारी,परिवेश-स्वास्थ्य-अधिकारी
Enzyme,एंजाइम/विकर,विकर/एंझाइम,जीवरसः
Eosin,इओसिन रंजक,इओसिन रंजक,इओसिन-रञ्जकः
Eosinopenia,इओसिनोपीनिया,इओसिनोपीनिया,इओसिन-न्यूनता
Eosinophil,इओसिनोफिल कोशिका,इओसिनोफिल पेशी,इओसिन-प्रिय-कोशिका
Eosinophilia,इओसिनोफिलिया,इओसिनोफिलिया,इओसिन-कोशिका-वृद्धिः
Ependyma,एपेंडिमा झिल्ली,एपेंडिमा पटल,मस्तिष्क-गुहा-आवरणम्
Epicardium,बाह्य हृदावरण,बाह्य हृदयावरण,हृदय-बाह्यावरणम्
Epicondyle,अधिकंद,अधिकंद,अस्थि-उच्चभागः
Epicondylitis,अधिकंद शोथ,अधिकंद दाह,अस्थि-उच्चभाग-शोथः
Epicranium,कपाल आवरण,करोटी आवरण,कपाल-आवरणम्
Epicranius,कपाल पेशी,करोटी स्नायू,कपाल-पेशी
Epicritic,सूक्ष्म स्पर्श संवेदी,सूक्ष्म स्पर्श संवेदनशील,सूक्ष्म-स्पर्श-ज्ञानम्
Epidemic,महामारी,साथरोग/महामारी,महामारी
Epidemiology,महामारी विज्ञान,साथरोग शास्त्र,महामारी-विज्ञानम्
Epidemiologist,महामारी विज्ञानी,साथरोग तज्ञ,महामारी-विज्ञानवित्
Epidemics,महामारी रोग,साथरोग,महामारी-व्याधयः
Epidermal,त्वचीय/बाह्य त्वचा संबंधी,त्वचेसंबंधी,त्वक्-संबन्धी
Epidermis,बाह्य त्वचा,बाह्य त्वचा,बहिस्त्वक्
Epidermolysis,त्वचा विघटन,त्वचा विघटन,त्वक्-विघटनम्
Epidermophyton,त्वचा कवक,त्वचा बुरशी,त्वक्-कवकः
Epididymis,अधिवृषण,अधिवृषण,अण्डकोश-उपरि-ग्रन्थिः
Epididymal,अधिवृषण संबंधी,अधिवृषण संबंधी,अण्डकोश-उपरि-ग्रन्थि-सम्बन्धी
Epididymectomy,अधिवृषण उच्छेदन,अधिवृषण छेदन,अण्डकोश-उपरि-ग्रन्थि-छेदनम्
Epididymitis,अधिवृषण शोथ,अधिवृषण दाह,अण्डकोश-उपरि-ग्रन्थि-शोथः
Epidural,कठोर तानिका के बाहर,कठोर तानिका बाहेर,दृढ-तानिका-बहिः
Epidural Anaesthesia,एपीड्यूरल संज्ञाहरण,एपीड्यूरल भूल,दृढ-तानिका-बहिः-संज्ञाहरणम्
Epidural Space,एपीड्यूरल अवकाश,एपीड्यूरल जागा,दृढ-तानिका-बहिः-स्थानम्
Epigastrium,अधिजठर प्रदेश,अधिजठर प्रदेश,उदर-उपरि-भागः
Epigastric,अधिजठर,अधिजठर,उदर-उपरि-भाग-सम्बन्धी
Epiglottis,उपजिह्वा/कण्ठच्छद,उपजिभ,कण्ठच्छदः
Epiglottitis,उपजिह्वा शोथ,उपजिभ दाह,कण्ठच्छद-शोथः
Epilation,केश उन्मूलन,केश उन्मूलन,केश-निष्कासनम्
Epilepsy,मिर्गी/अपस्मार,अपस्मार/मिरगी,अपस्मारः
Epileptic,मिर्गी रोगी,अपस्मार रुग्ण,अपस्मार-ग्रस्तः
Epileptic Fit,मिर्गी का दौरा,अपस्माराचा झटका,अपस्मार-आक्रमणम्
Epiloia,अपस्मार रोग,अपस्मार रोग,अपस्मार-व्याधिः
Epimeno rrhagia,रजोधर्म अत्यावर्तन,रजोधर्म अतिप्रवाह,रजोधर्म-अति-प्रवाहः
Epinephrine,एपिनेफ्रिन/एड्रीनेलिन,एपिनेफ्रिन,अधिवृक्क-हार्मोनम्
Epineurium,तंत्रिका आवरण,मज्जातंतु आवरण,तन्त्रिका-बाह्य-आवरणम्
Epiphora,अश्रु अतिस्राव,अश्रू अतिप्रवाह,अश्रु-अति-स्रावः
Epiphyseal,दीर्घास्थि शीर्ष संबंधी,दीर्घास्थि शीर्ष संबंधी,अस्थि-शीर्ष-सम्बन्धी
Epiphyseal Cartilage,दीर्घास्थि शीर्ष उपास्थि,दीर्घास्थि शीर्ष कूर्चा,अस्थि-शीर्ष-कास्थिः
Epiphyseal Line,दीर्घास्थि शीर्ष रेखा,दीर्घास्थि शीर्ष रेषा,अस्थि-शीर्ष-रेखा
Epiphysis,दीर्घास्थि शीर्ष,दीर्घास्थि शीर्ष,अस्थि-शीर्षम्
Epiphysis Cerebri,पीनियल ग्रंथि,पिनिअल ग्रंथी,पिनिअल-ग्रन्थिः
Epiphysitis,दीर्घास्थि शीर्ष शोथ,दीर्घास्थि शीर्ष दाह,अस्थि-शीर्ष-शोथः
Epiploic,वपावाह संबंधी,वपावाह संबंधी,वपा-सम्बन्धी
Epiploon,वपावाह/ओमेन्टम,वपा/आंतरवल्क,वपा-आवरणम्
Episclera,श्वेतपटल का बाह्य स्तर,श्वेतपटल बाह्य स्तर,श्वेतपटल-बाह्य-स्तरम्
Episcleritis,श्वेतपटल बाह्य स्तर शोथ,श्वेतपटल बाह्य स्तर दाह,श्वेतपटल-बाह्य-शोथः
Episio-,योनिद्वार संबंधी,योनिद्वार संबंधी,योनि-द्वार-सम्बन्धी
Episiotomy,योनिद्वार चीरण,योनिद्वार छेदन,योनि-द्वार-छेदनम्
Episode,प्रसंग/आक्रमण,प्रसंग,प्रसङ्गः
Epispadias,मूत्रमार्ग विदर,मूत्रमार्ग विदर,मूत्रमार्ग-विदरणम्
Epistaxis,नासा रक्तस्राव,नाकातून रक्तस्त्राव,नासिका-रक्त-स्रावः
Epithalamus,अधिचेतक,अधिचेतक,अधि-चेतकम्
Epithelial,उपकला संबंधी,उपकला संबंधी,उपकला-सम्बन्धी
Epithelialisation,उपकला निर्माण,उपकला निर्माण,उपकला-निर्माणम्
Epithelial Layer,उपकला स्तर,उपकला स्तर,उपकला-स्तरम्
Epithelial Tissue,उपकला ऊतक,उपकला ऊतक,उपकला-ऊतकम्
Epithelioma,उपकला अर्बुद,उपकला अर्बुद,उपकला-अर्बुदम्
Epithelium,उपकला,उपकला,उपकला
Simple Epithelium,सरल उपकला,साधी उपकला,सरल-उपकला
Stratified Epithelium,स्तरित उपकला,स्तरित उपकला,स्तरित-उपकला
Cuboidal Epithelium,घनाकार उपकला,घनाकार उपकला,घन-आकार-उपकला
Squamous Epithelium,शल्की उपकला,खवले उपकला,शल्क-उपकला
Erection,स्तम्भन/उत्थान,उभारणे,स्तम्भनम्
Erector Spinae,मेरुदंड उत्थापक पेशी,मणक्याचे उभारक स्नायू,मेरुदण्ड-स्तम्भन-पेशी
Erepsin,इरेप्सिन एंजाइम,इरेप्सिन विकर,इरेप्सिन-जीवरसः
Erethism,उत्तेजन/चिड़चिड़ापन,चिडचिड,उत्तेजनम्
Erg,कार्य इकाई,कार्य एकक,कार्य-एककम्
Ergocalciferol,अर्गोकैल्सिफेरॉल,अर्गोकॅल्सिफेरॉल,अर्गो-कैल्सिफेरॉल
Ergograph,श्रम लेखी यंत्र,श्रम लेखी यंत्र,कार्य-लेखन-यन्त्रम्
Ergometer,श्रम मापी यंत्र,श्रम मापक यंत्र,कार्य-मापन-यन्त्रम्
Ergometrine,अर्गोमेट्रिन औषधि,अर्गोमेट्रिन औषध,अर्गोमेट्रिन-औषधम्
Ergonomics,कार्य विज्ञान,कार्य शास्त्र,कार्य-विज्ञानम्
Ergot,अर्गट कवक,अर्गॉट बुरशी,अर्गट-कवकः
Ergotamine,अर्गोटामीन औषधि,अर्गोटामीन औषध,अर्गोटामीन-औषधम्
Ergotism,अर्गट विषाक्तता,अर्गॉट विषबाधा,अर्गट-विषम्
Erogenous Zone,कामोद्दीपक क्षेत्र,कामोत्तेजक क्षेत्र,काम-उद्दीपक-क्षेत्रम्
Erosion,क्षरण/घिसाव,धूप/क्षरण,क्षरणम्
Erotic,कामुक/श्रृंगारिक,कामुक,कामुकः
Eroticism,कामुकता,कामुकता,कामुकता
Eructation,डकार,ढेकर,उद्गारः
Eruption,विस्फोट/उद्भेदन,उद्रेक,उद्भेदनम्
Skin Eruption,त्वचा विस्फोट,त्वचा उद्रेक,त्वक्-उद्भेदनम्
Erysipelas,विस्फोटक,विस्फोटक,विस्फोटकम्
Erysipeloid,विस्फोटकाभ,विस्फोटकासारखे,विस्फोटक-सदृशम्
Erythema,त्वक् लालिमा,त्वचा लालसरपणा,त्वक्-रक्तिमा
Erythema Ab Igne,अग्नि जनित लालिमा,अग्नीमुळे लालसरपणा,अग्नि-जनित-रक्तिमा
Erythema Induratum,कठोर लालिमा,कठीण लालसरपणा,कठोर-रक्तिमा
Erythema Multiforme,बहुरूपी लालिमा,बहुरूपी लालसरपणा,बहुरूप-रक्तिमा
Erythema Nodosum,गांठदार लालिमा,गाठी लालसरपणा,गण्डिल-रक्तिमा
Erythema Pernio,शीतदाह लालिमा,शीतदाह लालसरपणा,शीत-दाह-रक्तिमा
Erythrasma,एरिथ्रास्मा रोग,एरिथ्रास्मा रोग,एरिथ्रास्मा-रोगः
Erythroblast,लाल कोशिका पूर्वज,लाल पेशी पूर्वज,रक्त-कोशिका-पूर्वजः
Erythroblastosis,लाल कोशिका पूर्वज वृद्धि,लाल पेशी पूर्वज वृद्धी,रक्त-कोशिका-पूर्वज-वृद्धिः
Erythroblastosis Fetalis,नवजात लाल कोशिका रोग,नवजात लाल पेशी रोग,नवजात-रक्त-कोशिका-रोगः
Erythrocyanosis,लाल नील वर्णता,लाल निळी वर्णता,रक्त-नील-वर्णता
Erythrocyte,लाल रक्त कोशिका,लाल रक्त पेशी,रक्त-कोशिका
Erythrocyte Sedimentation Rate,लाल रक्त कोशिका अवसादन दर,लाल रक्तपेशी अवसादन दर,रक्त-कोशिका-अवसादन-दरः
Erythrocytosis,लाल कोशिका वृद्धि,लाल पेशी वृद्धी,रक्त-कोशिका-वृद्धिः
Erythroderma,त्वचा लाल रोग,त्वचा लाल रोग,त्वक्-रक्तिमा-रोगः
